Date,Open,High,Low,Close,Adj Close,Volume
10/27/15,76.349998,82.790001,76.349998,79.440002,79.440002,50815800
10/28/15,79.480003,82.544998,79.199997,82.349998,82.349998,25027100
10/29/15,81.970001,82.529999,80.82,82.220001,82.220001,16431700
10/30/15,82.699997,84.440002,82.599998,83.830002,83.830002,20740500
11/2/15,83.519997,84.830002,82.75,84.349998,84.349998,13827400
11/3/15,84,84.589996,83.129997,83.440002,83.440002,11641300
11/4/15,84.449997,85.599998,84.029999,85.400002,85.400002,23728500
11/5/15,85.220001,86.419998,84.199997,85.379997,85.379997,20657200
11/6/15,85.529999,86.349998,80.769997,83.610001,83.610001,38531000
11/9/15,83.440002,83.470001,80.220001,81.379997,81.379997,19091500
11/10/15,81.099998,82.43,79.620003,81.43,81.43,22004400
11/11/15,82.279999,82.489998,78.120003,79.849998,79.849998,29636600
11/12/15,78.989998,80.5,78.449997,78.760002,78.760002,18839800
11/13/15,77.150002,78,75.639999,75.849998,75.849998,24235500
11/16/15,75.830002,78.75,75.769997,78.300003,78.300003,17045500
11/17/15,78.900002,79.139999,77.470001,78.129997,78.129997,12471400
11/18/15,78.25,78.309998,76.150002,77.690002,77.690002,16735400
11/19/15,78.059998,79.150002,77.403,77.870003,77.870003,15692700
11/20/15,78.440002,80.785004,78.400002,79.949997,79.949997,21025800
11/23/15,80.449997,82.190002,79.970001,81.309998,81.309998,18766400
11/24/15,80.849998,81.110001,79.269997,80.860001,80.860001,15283600
11/25/15,80.910004,82.675003,80.82,81.709999,81.709999,16330900
11/27/15,80.57,81.410004,79.275002,81.379997,81.379997,12599900
11/30/15,81.5,84.470001,81.379997,84.080002,84.080002,97914100
12/1/15,83.769997,84.389999,83.5,84,84,26235500
12/2/15,84.269997,85.82,84.25,85,85,36611500
12/3/15,85.050003,85.099998,82.099998,82.589996,82.589996,23029200
12/4/15,82.580002,85,82.419998,84.849998,84.849998,15555000
12/7/15,84.800003,85.129997,84.199997,84.760002,84.760002,11875500
12/8/15,82.769997,84.669998,82.610001,84.379997,84.379997,14667400
12/9/15,84.370003,85.199997,82.970001,83.419998,83.419998,21919200
12/10/15,83.339996,84.339996,82.849998,84.330002,84.330002,10474700
12/11/15,82.849998,83.050003,79.421997,79.739998,79.739998,20793600
12/14/15,80.150002,80.760002,78.989998,80.57,80.57,12077700
12/15/15,81.059998,83.389999,80.900002,82.489998,82.489998,13054800
12/16/15,83.300003,85.050003,82.995003,84.629997,84.629997,16575600
12/17/15,85,85.32,82.849998,83.559998,83.559998,13003000
12/18/15,83.199997,83.75,82.029999,82.650002,82.650002,12168700
12/21/15,83.150002,83.730003,82.43,82.870003,82.870003,8094600
12/22/15,82.889999,85.099998,82.889999,84.839996,84.839996,12778200
12/23/15,85.050003,85.089996,83.720001,84.800003,84.800003,11238500
12/24/15,84.559998,84.800003,83.410004,83.709999,83.709999,3775300
12/28/15,82.559998,82.75,81.519997,82.139999,82.139999,9319400
12/29/15,82.5,83.510002,82.410004,83.260002,83.260002,6942700
12/30/15,82.949997,83.110001,81.5,81.68,81.68,6984300
12/31/15,81.480003,82.169998,81.25,81.269997,81.269997,6744500
1/4/16,78.18,78.309998,75.18,76.690002,76.690002,23066300
1/5/16,77.919998,78.68,77.260002,78.629997,78.629997,14258900
1/6/16,77.120003,78.485001,76.970001,77.330002,77.330002,11569300
1/7/16,73.290001,75.5,71.540001,72.720001,72.720001,27288100
1/8/16,74.330002,74.660004,70.669998,70.800003,70.800003,20814600
1/11/16,71.290001,71.730003,69.019997,69.919998,69.919998,16961400
1/12/16,71.449997,72.769997,71,72.68,72.68,13456000
1/13/16,72.769997,73.238998,70.220001,70.290001,70.290001,12480200
1/14/16,70.290001,72.720001,68.269997,72.25,72.25,17719600
1/15/16,68.699997,71,67.541,69.589996,69.589996,20722500
1/19/16,71.940002,72.309998,69.809998,70.129997,70.129997,17421700
1/20/16,68.025002,69.112,65.339996,68.709999,68.709999,19464400
1/21/16,68.779999,71.650002,67.143997,70.720001,70.720001,16576500
1/22/16,72.510002,73.339996,69.889999,70.370003,70.370003,15834700
1/25/16,70.800003,70.800003,69.019997,69.720001,69.720001,14782800
1/26/16,69.010002,70.190002,68.879997,69.769997,69.769997,11473300
1/27/16,69.959999,71.419998,68.745003,69.540001,69.540001,18257600
1/28/16,72.550003,73.150002,66.669998,66.919998,66.919998,33165100
1/29/16,67.980003,68.93,65.400002,67.029999,67.029999,25594700
2/1/16,66.5,67.699997,65.349998,67.029999,67.029999,16213800
2/2/16,67.050003,67.739998,64.660004,65.089996,65.089996,19150800
2/3/16,65.599998,65.730003,60.869999,63.439999,63.439999,31918600
2/4/16,64.330002,65.720001,63.099998,64.860001,64.860001,22911500
2/5/16,64.709999,64.860001,62.18,62.639999,62.639999,12842800
2/8/16,60.900002,62.049999,60.450001,61.099998,61.099998,16157900
2/9/16,60.110001,62.220001,59.25,61.389999,61.389999,12738300
2/10/16,61.900002,63.09,60.869999,61.779999,61.779999,8998600
2/11/16,60.25,61.630001,59.849998,60.57,60.57,15008500
2/12/16,61.27,62.779999,60.279999,60.889999,60.889999,13669600
2/16/16,64.419998,66.889999,64.040001,66.290001,66.290001,21735400
2/17/16,67.300003,67.389999,65.68,66.379997,66.379997,14457100
2/18/16,67,68.5,66.230003,66.519997,66.519997,14547800
2/19/16,66.800003,67.75,66.089996,67.279999,67.279999,12334900
2/22/16,68.300003,69.529999,67.980003,68.839996,68.839996,13405400
2/23/16,68.5,68.660004,66.464996,66.970001,66.970001,12930600
2/24/16,66.169998,67.690002,65.209999,67.230003,67.230003,10781500
2/25/16,65.669998,66.720001,64.660004,66.660004,66.660004,14686100
2/26/16,68.089996,68.830002,66.860001,66.910004,66.910004,12084100
2/29/16,67.639999,70.580002,67.559998,68.809998,68.809998,17984200
3/1/16,70.019997,71.839996,69.860001,70.860001,70.860001,14007700
3/2/16,72.040001,72.040001,70.75,71.25,71.25,10503000
3/3/16,71.309998,72.589996,70.459999,71.019997,71.019997,11596400
